clr_ratio,sensattr,arch,adv_coeff,g_y_ratio,DP_mean,0-acc_mean,1-acc_mean,EqOp0_mean,EqOp1_mean
"(0.5, 0.5)",color_gy,cfair,1.0,"(0.5, 0.5)",0.997397598874449,0.9504639829094065,0.950644493421492,0.997391793282557,0.9971528748200932
"(0.5, 0.5)",color_gy,cfair,1.0,"(0.75, 0.25)",0.932165192894309,0.8987916416316176,0.9066319374874775,0.9250882813268024,0.9387957282661001
"(0.5, 0.5)",color_gy,cfair,1.0,"(0.9, 0.1)",0.6877618514313815,0.8270912610988718,0.8100581045882588,0.7086781753580017,0.6657278476482449
"(0.5, 0.5)",color_gy,cfair,10.0,"(0.5, 0.5)",0.9924525337944236,0.8049268976567193,0.8111934816002138,0.9982674545797839,0.9859946878623601
"(0.5, 0.5)",color_gy,cfair,10.0,"(0.75, 0.25)",0.9429088655728252,0.9297015822151011,0.9304080678554733,0.9426806730862757,0.94244930949919
"(0.5, 0.5)",color_gy,cfair,10.0,"(0.9, 0.1)",0.9311426433124721,0.7276854262634355,0.7171575502571295,0.9424185728619379,0.9191791954490044
"(0.5, 0.5)",color_gy,cfair,100.0,"(0.5, 0.5)",0.9943241984045813,0.5017023833366713,0.507981032525212,0.9991441561636725,0.9876042413410726
"(0.5, 0.5)",color_gy,cfair,100.0,"(0.75, 0.25)",0.9111124505049072,0.6225382201749116,0.5842516529753556,0.9500054354978058,0.8709309124785681
"(0.5, 0.5)",color_gy,cfair,100.0,"(0.9, 0.1)",0.994591345936806,0.5017023833366713,0.5077138849929873,0.9991441561636725,0.9881460265232477
"(0.5, 0.5)",color_gy,cfair,1000.0,"(0.5, 0.5)",0.9588760269185516,0.5461646304826758,0.507580311226875,0.997104882221345,0.9195116445272539
"(0.5, 0.5)",color_gy,cfair,1000.0,"(0.75, 0.25)",0.994591345936806,0.5017023833366713,0.5077138849929873,0.9991441561636725,0.9881460265232477
"(0.5, 0.5)",color_gy,cfair,1000.0,"(0.9, 0.1)",0.9542321916815913,0.5452967487816275,0.5390369331463299,0.9822906800197863,0.9217751943874579
